version,pool_method,label_col,F1,AUROC,Accuracy,n,base_rate
ptEZftEML,final_pos,Inference_Z,0.8200270635994588,0.4950095617321143,0.6987542468856173,883,0.7327293318233296
ptEZftEML,final_pos,Deep_X,0.6706896551724139,0.5169987616796128,0.5495283018867925,848,0.5542452830188679
ptEZftEML,final_pos,Deep_Z,0.6711074104912573,0.5008437609450123,0.5526613816534541,883,0.5911664779161948
ptEZftEML,final_pos,Rote_D,0.7800338409475465,0.463432797048993,0.6472184531886025,737,0.6933514246947082
ptEZftEML,final_pos,Inference_D,0.7013752455795678,0.5240082513487782,0.5858310626702997,734,0.6267029972752044
ptEZftEML,final_pos,MW,0.3706896551724138,0.4748599615416771,0.4834905660377358,848,0.47759433962264153
ptEZftEML,masked_mean,SVT,0.6717299578059072,0.49712103171179256,0.5412735849056604,848,0.5908018867924528
ptEZftEML,masked_mean,Rote_X,0.8208744710860367,0.4925452152014652,0.7004716981132075,848,0.7358490566037735
ptEZftEML,masked_mean,Rote_Y,0.6074074074074075,0.5270343699058778,0.5181818181818182,880,0.7079545454545455
ptEZftEML,masked_mean,Rote_Z,0.6972176759410802,0.5010845863159457,0.580973952434881,883,0.6591166477916195
ptEZftEML,masked_mean,Inference_X,0.8347338935574229,0.5238375886674104,0.7216981132075472,848,0.7275943396226415
ptEZftEML,masked_mean,Inference_Y,0.7463823305407463,0.5144585579368188,0.6215909090909091,880,0.7056818181818182
ptEZftEML,masked_mean,Inference_Z,0.8212824010914052,0.4949506195478479,0.7032842582106456,883,0.7327293318233296
ptEZftEML,masked_mean,Deep_X,0.6255924170616114,0.5277327479455138,0.5341981132075472,848,0.5542452830188679
ptEZftEML,masked_mean,Deep_Z,0.4423076923076923,0.5048290720752274,0.47451868629671573,883,0.5911664779161948
ptEZftEML,masked_mean,Rote_D,0.7986852917009037,0.458358588919869,0.6675712347354138,737,0.6933514246947082
ptEZftEML,masked_mean,Inference_D,0.7338129496402878,0.5371628054585846,0.5967302452316077,734,0.6267029972752044
ptEZftEML,masked_mean,MW,0.28477905073649756,0.45735863779505614,0.4846698113207547,848,0.47759433962264153
ptEZ,mean,SVT,0.6794979079497908,0.48647086230996217,0.5483490566037735,848,0.5908018867924528
ptEZ,mean,Rote_X,0.820113314447592,0.4607300251831502,0.7004716981132075,848,0.7358490566037735
ptEZ,mean,Rote_Y,0.8035837353549277,0.4831960327522781,0.6761363636363636,880,0.7079545454545455
ptEZ,mean,Rote_Z,0.7501842299189388,0.4596248473016635,0.6160815402038505,883,0.6591166477916195
ptEZ,mean,Inference_X,0.8311327310632383,0.5091491436710237,0.7134433962264151,848,0.7275943396226415
ptEZ,mean,Inference_Y,0.7983193277310925,0.5260477869173521,0.6727272727272727,880,0.7056818181818182
ptEZ,mean,Inference_Z,0.8254397834912044,0.5215138972572236,0.7078142695356738,883,0.7327293318233296
ptEZ,mean,Deep_X,0.6189591078066914,0.4728638973319824,0.5165094339622641,848,0.5542452830188679
ptEZ,mean,Deep_Z,0.6924265842349304,0.520393542840768,0.549263873159683,883,0.5911664779161948
ptEZ,mean,Rote_D,0.7953603976801988,0.45649689139809146,0.6648575305291723,737,0.6933514246947082
ptEZ,mean,Inference_D,0.7216117216117217,0.5019676293240241,0.5858310626702997,734,0.6267029972752044
ptEZ,mean,MW,0.45893719806763283,0.4508653122648608,0.4716981132075472,848,0.47759433962264153
ptEZ,final_pos,SVT,0.6791171477079796,0.5048059500595351,0.5542452830188679,848,0.5908018867924528
ptEZ,final_pos,Rote_X,0.8085409252669039,0.4704169528388278,0.6827830188679245,848,0.7358490566037735
ptEZ,final_pos,Rote_Y,0.7983074753173484,0.4891294164673258,0.675,880,0.7079545454545455
ptEZ,final_pos,Rote_Z,0.7562043795620438,0.4615542692742405,0.6217440543601359,883,0.6591166477916195
ptEZ,final_pos,Inference_X,0.8279720279720278,0.5081703817522294,0.7099056603773585,848,0.7275943396226415
ptEZ,final_pos,Inference_Y,0.7958188153310104,0.5094784225219007,0.6670454545454545,880,0.7056818181818182
ptEZ,final_pos,Inference_Z,0.8247978436657681,0.509018154192754,0.7055492638731596,883,0.7327293318233296
ptEZ,final_pos,Deep_X,0.6146616541353382,0.4654452324665091,0.5165094339622641,848,0.5542452830188679
ptEZ,final_pos,Deep_Z,0.6730462519936204,0.4979144776642149,0.535673839184598,883,0.5911664779161948
